"Severity","Date","Finding","Target","Template","Rules Package"
"Medium","1615063325706","On instance i-00a87800d9ba11350, UDP port 464 which is associated with 'Kerberos' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Informational","1615063326289","Aggregate network exposure: On instance i-00a87800d9ba11350, ports are reachable from the internet through ENI eni-066035a6d6a945eac and security group sg-007fde6d3707ed687","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063322252","On instance i-00a87800d9ba11350, TCP port 68 which is associated with 'DHCP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063321269","On instance i-00a87800d9ba11350, TCP port 135 which is associated with 'RPC' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063324986","On instance i-00a87800d9ba11350, UDP port 88 which is associated with 'Kerberos' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063322605","On instance i-00a87800d9ba11350, TCP port 111 which is associated with 'RPC' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063321810","On instance i-00a87800d9ba11350, TCP port 544 which is associated with 'Kerberos' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063321968","On instance i-00a87800d9ba11350, TCP port 601 which is associated with 'Syslog' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063323557","On instance i-00a87800d9ba11350, TCP port 1630 which is associated with 'Oracle' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063323655","On instance i-00a87800d9ba11350, TCP port 3268 which is associated with 'Global Catalog LDAP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Low","1615063321470","On instance i-00a87800d9ba11350, TCP port 443 which is associated with 'HTTPS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063321999","On instance i-00a87800d9ba11350, TCP port 751 which is associated with 'Kerberos' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063325185","On instance i-00a87800d9ba11350, UDP port 111 which is associated with 'NFS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063321850","On instance i-00a87800d9ba11350, TCP port 547 which is associated with 'DHCP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063323641","On instance i-00a87800d9ba11350, TCP port 1521 which is associated with 'Oracle' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063323131","On instance i-00a87800d9ba11350, UDP port 1434 which is associated with 'SQLServer' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"High","1615063323488","On instance i-00a87800d9ba11350, UDP port 21 which is associated with 'FTP' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063322175","On instance i-00a87800d9ba11350, TCP port 1110 which is associated with 'NFS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063325342","On instance i-00a87800d9ba11350, UDP port 135 which is associated with 'RPC' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063323457","On instance i-00a87800d9ba11350, UDP port 4045 which is associated with 'NFS' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
"Medium","1615063321595","On instance i-00a87800d9ba11350, TCP port 464 which is associated with 'Kerberos' is reachable from the internet","Assessment-Target-All-Instances","Assessment-Template-Default","Network Reachability-1.1"
